"NBa7we src","d4r55","RfnDt","eaLgGf","hCCjke","rsqaWe","wiI7pd","w8nwRe","Tap5If","dSlJg","znYl0","dSlJg 2","znYl0 2","Hzvxle","pkWtMe"
"https://lh3.googleusercontent.com/a-/ALV-UjWADrgi4B-nx0rj2EgBij0BCdJH_RZlzGMNklvdPjKjq5a-YsCB=w45-h45-p-rp-mo-ba5-br100","Waleed Bayyari","Local Guide · 102 reviews · 669 photos","","","3 weeks ago","Amazing experience - great food dishes from different places.

Had the buffalo wings: tender - very spicy (my request) - makes you want to go …","More","+14","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXibsrcestytdlwGn4_0j5aJg8rE6gf-HLg9ELM2Udi68ABPQQ=w45-h45-p-rp-mo-br100","Manish Shrestha","1 review · 3 photos","","","a month ago","One of my best choice for event and family get together.
I love their service, way of food presentations, frenly environment.
Last but not the least food is awesome and tasty...","More","","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWn_Jpo1WN9usxdgX5VOGur8G9AgKeQ1GBm_Ov4LlIqnlfrpx7K=w45-h45-p-rp-mo-ba4-br100","Raj Maharjan","Local Guide · 64 reviews · 108 photos","","","3 months ago","The place is good with enough parking space for both two-wheelers and four-wheelers. The food was excellent, with amazing service. The staff were well-trained and attentive.","More","+4","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXx_8Vqewi1ILDErIbhZE-AXYXOkS3_pTw2D4WeP8dMjin-hC19=w45-h45-p-rp-mo-ba5-br100","Kapil Shrestha","Local Guide · 108 reviews · 643 photos","","","5 months ago","Went there with my family and had a good time.
It was crowded but the service staff were attentive and friendly. …","More","+4","","","","Share","Like","1"
"https://lh3.googleusercontent.com/a-/ALV-UjVM4rhHO-YB5_rXjCSVOezlnIcVPafIMeIfLhORF_KLfeI2KrQ=w45-h45-p-rp-mo-ba5-br100","Julie Tieu","Local Guide · 356 reviews · 614 photos","","","2 weeks ago","Came here with 2 others on a Monday afternoon for lunch, the place was not busy, service was very quick, and food was great. Highly recommend if you’re after Nepalese food while in Kathmandu","More","","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXK_YWCiFogv59ZLUEA-iR-P-I5_X-68lZbVe1ioyI3bzwg80rWLA=w45-h45-p-rp-mo-ba2-br100","Roshan Pandey","Local Guide · 7 reviews · 15 photos","","","4 months ago","Been here many times. Nice place to be. Service is good but sometimes slow.
Here are the things we tried and the review.
1. Nachos - Just Ok …","More","+4","","","","Share","Like","2"
"https://lh3.googleusercontent.com/a/ACg8ocJ8mJ2v8givHDfRHR6lMnt576O5CJA8UW2MwHXvVzS_TaNoKA=w45-h45-p-rp-mo-ba2-br100","Ishan Kharel","Local Guide · 12 reviews · 20 photos","","","3 months ago","Great food,service and atmosphere. We had chicken thakali set. Everything alright. You need to experience Jimbu’s service once to make sure you didn’t miss at least.","More","","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW6dM7E_91wIYDuhcaIbMlD-OS_JjSYcSmQ-J-x_-FKBuAtJMCy=w45-h45-p-rp-mo-ba3-br100","Janntun Nayeem","Local Guide · 48 reviews · 56 photos","","","2 months ago","Love this place, really enjoyed their food, tasty food with the reasonable price. One of the best places in Kathmandu, Nepal","More","","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWPAFAsC58uG8eu7E6gWoosUJDpwz3uF7pBOPWqjsAEx9I5avlM=w45-h45-p-rp-mo-ba6-br100","Man B Paudyal","Local Guide · 171 reviews · 1,919 photos","","","6 months ago","I’ve heard a lot about JimBu, and finally, I got the opportunity to visit the place. It’s overcrowded, and the management team needs to work harder to manage things better. This isn’t worth the expenses we incurred here. …","More","+9","","","","Share","Like","1"
"https://lh3.googleusercontent.com/a-/ALV-UjXr5TCCWkVUhvdJdIkd61CwD9lmetA_kKzSn-Di3MP_xgZO8-zF=w45-h45-p-rp-mo-ba6-br100","Kaushal Kafle","Local Guide · 286 reviews · 2,138 photos","","","8 months ago","Very crowded even on weekdays even after 8 in evening. very lively proof that Nepalese are not poor and they do have night life. Famous for its family dining, they definitely serve good thakali cuisine.","More","+3","","","","Share","Like","4"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUgRYyA83uS_vnyl95MKCvgFlU98WTiD13-DXwnp0S4ZSjuq6Mj=w45-h45-p-rp-mo-br100","Koyee","4 reviews","","","4 months ago","I recently dined here and it was a mixed experience. The food was good, but it didn't quite reach the level of ""very good"" that I was hoping for. The flavors were decent, and the presentation was appealing, but there was a certain spark …","More","","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV1lMrhgcgeTZbJ3XUtAkHxjallpOS-CGzibKlswqikAVByFqk=w45-h45-p-rp-mo-ba5-br100","Javier Ingrid","Local Guide · 189 reviews · 221 photos","","","3 months ago","The food is normally on Time but when big group comes you have to wait a little bit. Many delicious options from burgers to fine Thakali sets. The rooms get quite hot nowadays. The waiters do their best to help. Always a nice experience if you don't mind waiting a bit for food.","More","","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVSWaemJD55VanBGJ5PJTO6V4Jj2zpJwEeN41HGQZA3JHPuaZdH=w45-h45-p-rp-mo-ba3-br100","Jessie Birax","Local Guide · 19 reviews · 20 photos","","","3 months ago","✅Great Ambience
✅Had to wait hours for food.
✅The Chicken Thali set was just average, salty …","More","","","Like","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocK6s2KgFMGOrP3oaVAMq-vpIAHI_grzTdonb07JgwzV8J_yoA=w45-h45-p-rp-mo-ba3-br100","Claudia Tan","Local Guide · 24 reviews · 28 photos","","","a year ago","Loved this place. This place is not targeted to tourists or the affluent, but is best described as a restaurant that locals would frequent for a good hearty meal with quality food. …","More","","","","","Share","Like","1"
"https://lh3.googleusercontent.com/a-/ALV-UjWjpiVhM505M_0tSxi-6ypHBKWrb0T_Oa_fdqJnVRLFOka5uLxa=w45-h45-p-rp-mo-ba4-br100","Golden Escapes","Local Guide · 165 reviews · 243 photos","","","4 months ago","Today we have very weird service happen in jimbu normally it wouldnt happen but we just need asks for more than average for water and the lady we got for serve she is not from  hospitality sector . If somebody asks for normal water you should give them. Overall food is always same !!!","More","","","","","Share","Like","1"
"https://lh3.googleusercontent.com/a-/ALV-UjV2G7Q2aSMKVMvaqM8okyPD7SOHCWVl5XelBJCX5q6iJJx7mf2C=w45-h45-p-rp-mo-ba4-br100","World Travel Net","Local Guide · 41 reviews · 247 photos","","","a year ago","It was an excellent Restaurant in the heart of Kathmandu. As it’s a famous supper restaurant, so I wish they had expanded the children's area into a more significant place or room, which forced me to deduct one star. The rest was fantastic such as the Food, atmosphere, tradition, staff member and location.","More","+10","","","","Share","Like","2"
"https://lh3.googleusercontent.com/a-/ALV-UjXXsCK1lKgADnS7zqGcwK84HTYUO6b8Om-5Ui6thiEwR6DlZNR0=w45-h45-p-rp-mo-ba5-br100","Shreedeep Rayamajhi","Local Guide · 225 reviews · 1,095 photos","","","a year ago","I like the place but the food is standard people say it's the best but to my taste pallet it was nothing special. The parking space is good and the biggest advantage is it's location which is very central.
The staff are friendly and the over all service is good.","More","+7","","","","Share","Like","1"
"https://lh3.googleusercontent.com/a-/ALV-UjWerc2_kqlzXK7CgYokr3f_PXCATWWk6K9dOYgCyIWsboYVMmXQ=w45-h45-p-rp-mo-br100","Sanju Devkota","8 reviews · 4 photos","","","7 months ago","I've heard a lot about their 'mutton momos', so I decided to come and dine in here. I ordered mutton momos, green veg salad, and a cappuccino. The mutton momos lived up to the expectations, no doubt on that. But what disappointed me was the …","More","","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWsflrwwNymY1f1-nz3BsdrvifP_X2GN_q7EMim8L5z4zTg5G3tiA=w45-h45-p-rp-mo-ba2-br100","Rajat Nepal","Local Guide · 19 reviews · 2 photos","","","3 months ago","Went with family and had mutton set and veg sets. It was crowded cuz of Saturday and food was awesome but we asked for extra rice and all like we got some and later they forget whenever we asked later. Due to over busy and Saturday I think …","More","","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUdDoP2WekRofEtzy1_Vpqr7bo5RRN8cdCl6MFumI5rOtMRc7Gr=w45-h45-p-rp-mo-ba5-br100","Ghising Subash","Local Guide · 124 reviews · 858 photos","","","a year ago","Food was just ok. Security Guard  Ganesh was helpful  and very welcoming.  Both indoor and out sitting available .small children can enjoy playground outside.tks","More","+10","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWzn-C7cbPvOxCkWJQ5ws0_BYA9CjvcwqSSngfivohj05wXfD6i=w45-h45-p-rp-mo-br100","Aashish Chaudhary","3 reviews","","","2 weeks ago","Within my time in Kathmandu we came here 3 times and each time was as good as the last. Mutton Thali set is flavourful and they give you many refills! Would recommend to anyone.","More","","","Like","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocI7K7KJTnBxWVvvPofr_09LJ_-wb5ZkIEpBift9yiiUm7GIH28=w45-h45-p-rp-mo-br100","Neema Dolma Tamang","3 reviews","","","a week ago","First time eating here was definitely a good food and day, second time, food was not okay, they didn't even pour their speciality which is 'ghee', chicken wasn't that tasty, overall not a vibe that was like last year","More","","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUHr4rd6DF1_mdAnoFVcbQ8fxgwMWBfXUiZ8534LEXkQhlR5AVWeQ=w45-h45-p-rp-mo-ba6-br100","Aman Gautam (Easy)","Local Guide · 217 reviews · 2,494 photos","","","a year ago","From the heart of Balwatar, Jimbu Thakali serves as a sanctuary for those in pursuit of traditional Nepalese flavors. As a party of five, we embarked on a culinary journey, opting for the Chicken, Mutton, and Fish Thali, each dish embodying …","More","","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUPmpLk5RWpzIm_LAk4-DS9EzhZ-PwGxpzU-Q4Ny5vTsZBnM4Bzcw=w45-h45-p-rp-mo-ba5-br100","NBT Thapa","Local Guide · 105 reviews · 942 photos","","","a year ago","Known for their Thakali khana set which is pretty good....I love their signature burger must try if you love burgers. Recently they added desserts...Chimichangas Cheese Cake is really good...Cheese Cake with a twist.","More","","","","","Share","Like","1"
"https://lh3.googleusercontent.com/a-/ALV-UjXwZFQEEGAYYinJptIwn-74LLnQAHrbjodISRsS_Tq9FPyC3y3L=w45-h45-p-rp-mo-ba5-br100","subrata maity","Local Guide · 154 reviews · 1,402 photos","","","2 years ago","Thakali dish was good. But service was slow.This place is famous for fine dining and thakali food. Service portions are also good. But no of service staff is less with respect to guests. Various non veg and veg snacks options are also …","More","+30","","","","Share","Like","2"
"https://lh3.googleusercontent.com/a-/ALV-UjWzxt2vGSbFGc1pIJ9QlsU7keUzkRnPHzdNBgw7F0qrV7Q5QhFLog=w45-h45-p-rp-mo-ba6-br100","Sudeep","Local Guide · 273 reviews · 3,073 photos","","","a year ago","Food is bang average here. For a place specializing in Thakali food, Thakali set is the one I would avoid here. Please skip their ""gourmet"" momos and also their jhol momos. Only food we liked was Chicken Picatta but the portion size was …","More","+22","","Like","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocKQEv28zbMD2O1iTvYrp1yzW3iFqwny9SIzLtW2foZTQnQTAA=w45-h45-p-rp-mo-br100","Luckey Sherpa2000","5 reviews · 2 photos","","","a month ago","Jimbu Thakali Restaurant is excellent! I really enjoyed the food, and the staff was incredibly kind. The service was also very nice, and I appreciated the polite attitude of the staff. The restaurant was spotless, making the whole …","More","","","Like","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJodxNYgCQrhZ0fL2iTbvzwHXiAWe5hYYWoCCcwYd-V0McIdg=w45-h45-p-rp-mo-br100","Ronald Fernandes","38 reviews · 44 photos","","","7 months ago","Want a lovely dining experience... A must visit.. delicious food and superb service from the staff 🥰😍 …","More","","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWq5IBdlsMOmOQZwU1FFXv0LFXZKVb9_4niVO0kGb7Ww1JXyv-7=w45-h45-p-rp-mo-ba6-br100","Binod Gupta","Local Guide · 228 reviews · 4,741 photos","","","2 years ago","We liked the ambiance of the restaurant. Food was good but on the milder side. I was expecting more of a Thakali taste but the food tasted more on the western side, spice wise. Staff were attentive and the second helpings came without asking. Definitely a good place to visit for a tasty lunch/dinner.","","+17","","","","Share","Like","3"
"https://lh3.googleusercontent.com/a/ACg8ocIYkXgHiVTMJrk2N8bofgsH7XMFUzCwQK8iKzMxzok1ZCYbgQ=w45-h45-p-rp-mo-br100","Sabnam Bhandari","3 reviews · 2 photos","","","7 months ago","Excellent service!! The food and the portions are both amazing and with a very lovely vibe.
Special shoutout to LOK BAHADUR TAMANG ! Very nice personality and very friendly …","More","","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUkTuDYyEwLo3bdzraLM71wnPJ8fEG_7g6QjSzAWQj2SL3A63OrMw=w45-h45-p-rp-mo-ba3-br100","Tanishq G","Local Guide · 32 reviews · 29 photos","","","9 months ago","Nepali Thali set is one of my favorites here at Jimbu. However, other food like momo , nachos, etc can be better. Veg thali is my favourite. Churros for desert was quite alright too.","More","","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVibYQ1D6nmuu9K_KqzdiMkBKC1PR9_DwpFkGAOJ7D4OLtCgWo=w45-h45-p-rp-mo-ba3-br100","Danial Bakhsheshi","Local Guide · 52 reviews · 44 photos","","","a year ago","One of the most authentic and so far the most delicious Nepalese food I have tried in Kathmandu. Will come back here again while I am here. Must try!!! We have ordered mutton momo and stuffed egg plants 😍😍😍 and chicken thakali set.
Everything was extremely delicious ❤️❤️❤️😍🙏 …","More","","","","","Share","Like","1"
"https://lh3.googleusercontent.com/a-/ALV-UjUfIcGOgWwUu5HjyBlI1bpy5FK6ZCNp_-tEH_reAjiQZ83wGiStvw=w45-h45-p-rp-mo-ba3-br100","Asif Haque","Local Guide · 14 reviews · 86 photos","","","2 months ago","Amazing place to eat an authentic thakali! !The service is fantastic (come see Rajesh) and the ambiance is great.","More","","","","","Share","Like","1"
"https://lh3.googleusercontent.com/a-/ALV-UjXlbAohNwgeN5mrVfFqTmbxC1g7yh5ebBrgC92uBSYbx4Df095B=w45-h45-p-rp-mo-ba3-br100","Seejan Gurung","Local Guide · 56 reviews · 51 photos","","","8 months ago","The taste of starters were amazing. We had mutton mo:mo, buckwheat chips and mushroom . I think main course could taste better","More","","","","","Share","Like","1"
"https://lh3.googleusercontent.com/a-/ALV-UjXL66hYwbaAyrwNorootru41rpN3WwOJ3aNtxz1FGkH-8_tNNIK=w45-h45-p-rp-mo-ba4-br100","Prayan Pokharel","Local Guide · 112 reviews · 70 photos","","","a month ago","This spot is a popular go-to for enjoying a Thakali rice set, and the food quality is excellent. The gundruk achar is particularly noteworthy and really stands out. Although I don’t typically eat rice, I’ve tried some of the vegetable …","More","","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWNdZ0Y3NkFXZqTtO6GdlAocbUqOjuNbL_4bt_SoxUiovgHhl2I=w45-h45-p-rp-mo-ba4-br100","Rajendra Gurung","Local Guide · 87 reviews · 99 photos","","","8 months ago","With my previous experience of delicious food, I loved to come here, but this time, it was a total disappointment where the food (thakalai khana - maccha) was spotted with human hair also, fish was as per my palte salty which made my …","More","","","Like","","Share","",""
